id,event,log_gdp_pc_ppp,emission_intensity,government_effectiveness,regulatory_quality,reserves_oil,g_debt,government_expenditure,polity2,welfare,spatial_lag,start,stop,region,kyoto,eu
AFG,0,-1.62715977660453,-0.30015043075645437,-1.8987897226223531,-2.021605867254664,-0.1476630537149045,-0.09487071476045944,-0.45923254969918315,-1.7294589540590282,-0.5800405006674095,-0.6645781175701251,10.0,11.0,AS,0,0
AFG,0,-1.6204946565948395,-0.30843819803455286,-2.0180863989899342,-1.983672353091258,-0.1476630537149045,0.16357022669438037,-0.38018842497949196,-1.7294589540590282,-0.6161977141845748,-0.6827675061271988,11.0,12.0,AS,0,0
AFG,0,-1.6149827377814934,-0.3239192568375449,-1.789731332983504,-1.931161628944428,-0.1476630537149045,-0.10651352649870557,-0.4769390125218846,-1.7294589540590282,-0.6602962041381419,-0.6882461645472749,12.0,13.0,AS,0,0
AFG,0,-1.6247504680957263,-0.3579260391399928,-2.1093370535316494,-2.004703204322507,-0.1476630537149045,-0.04116641989273155,-0.4439486366452201,-1.7294589540590282,-0.6943687705343377,-0.5724585261781872,13.0,14.0,AS,0,0
AFG,0,-1.6181928252128717,-0.34662661624227165,-1.7506714704279174,-1.9081389364642831,-0.1476630537149045,-0.02387946552450023,-0.49884732752297084,-1.8230534333479462,-0.694300293856219,-0.5801677783530891,14.0,15.0,AS,0,0
AFG,0,-1.6068709021838943,-0.39930661174140075,-1.4765747019770785,-1.7177951986810722,-0.1476630537149045,4.706212382177487,-0.28156335300598384,-2.217039519508069,-0.7509849483745339,-0.5739389687978237,15.0,16.0,AS,0,0
AFG,0,-1.5994757738508543,-0.3870570864624832,-1.0137047104383035,-1.3657639447254395,-0.1476630537149045,-4.905661694548407,-0.7565083470905212,-2.217039519508069,-0.8639956868355847,-0.5578602878442548,16.0,17.0,AS,0,0
AFG,0,-1.6197432865273507,-0.39534134822757666,-0.8340452534899124,-1.4370836320412097,-0.1476630537149045,-1.6713408488928474,-0.5842581531014208,-1.7573183988953331,-0.9496546236844983,-0.47109659211211485,17.0,18.0,AS,0,0
AFG,0,-1.563113439589464,-0.37958194436006115,-1.1360672913297376,-1.5607172092435628,-0.1476630537149045,-2.515044500569145,-0.7768705637530934,-2.217039519508069,-0.9587598159487674,-0.35314624163440483,18.0,19.0,AS,0,0
AFG,0,-1.5544650111605665,-0.3693338489940421,-1.3453558240807857,-1.589422393894601,-0.1476630537149045,-11.928147255152071,-1.563863643719599,1.0334975834855369,-1.078448571971795,-0.36381858637239606,19.0,20.0,AS,0,0
AFG,0,-1.4650498011935627,-0.3383342115256979,-1.3196221269704258,-1.6085588702831604,-0.1476630537149045,-0.18956696619297658,-1.1369111923892676,1.0334975834855369,-0.9680628405357038,-0.28217368409504384,20.0,21.0,AS,0,0
AFG,0,-1.4502430040096315,-0.23233291942632558,-1.408039224111082,-1.545876216059097,-0.1476630537149045,-0.07457259805119507,-1.0939449944598971,1.0334975834855369,-0.9011428303179471,-0.02959220427992306,21.0,22.0,AS,0,0
AFG,0,-1.3234352352656775,-0.18247359439582184,-1.3964170623617846,-1.5954477280716721,-0.1476630537149045,-0.18708314497998046,-1.12011673013115,1.0334975834855369,-0.9290004422506569,0.04496873077832883,22.0,23.0,AS,0,0
AFG,0,-1.2390834804478694,-0.14257411014410093,-1.3685620108714256,-1.4624654345240558,-0.1476630537149045,-0.5603605779820058,-1.032463830446517,1.0334975834855369,-0.3380246047357628,0.1694851905124998,23.0,24.0,AS,0,0
AFG,0,-1.2652421548086623,0.06727665182314556,-1.3626555882268894,-1.4697279882013645,-0.1476630537149045,-0.017110369364707955,-1.0001309602084252,1.0334975834855369,-0.6393005640488327,0.2500652523212608,24.0,25.0,AS,0,0
AFG,0,-1.2017325585578431,-0.07744125975576109,-1.2784230413665998,-1.1430606741370086,-0.1476630537149045,-0.05259801274250318,-1.214802713377263,-0.6934088520406815,-0.9420336007971915,0.377782524992657,25.0,26.0,AS,0,0
