id,event,log_gdp_pc_ppp,g_gdp,exports_share,imports_share,services_share,industry_share,emission_intensity,control_corruption,government_effectiveness,regulatory_quality,rule_of_law,reserves_oil,reserves_gas,reserves_coal,exposure_pm25,g_debt,spatial_lag,start,stop,region,kyoto,eu
AGO,0,-0.472882962577208,0.005138995323407641,0.38747970485878075,0.06028227823029788,-0.8729808295883997,2.0789856298576193,-0.1361253476917763,-1.3476960420989412,-1.1721336235864233,-1.2306174395596192,-1.5376002210383763,-0.06981497583307235,-0.09570195505915884,-0.24150567663757,0.4431603323364511,-1.0648964266738916,-0.47044383643313675,16.0,17.0,AF,0,0
AGO,0,-0.41643564894804785,1.3193301865089826,0.5123306393415157,-0.08226756596194786,-0.9318838812943399,2.1960330831196933,-0.1770773999643461,-1.3405042811718948,-1.3324818701865417,-1.2706530422475288,-1.5124634351336497,-0.07249733042591883,-0.09578494507203579,-0.24150567663757,0.4431603323364511,-0.6937197363145311,-0.43822312595857216,17.0,18.0,AF,0,0
AGO,0,-0.33079896553502913,1.992935718644582,0.7321308818947785,-0.21683101553177858,-1.2717424682430118,2.6425854630989756,-0.28116361075975677,-1.3228740425919414,-1.1524734698181323,-1.277011787418699,-1.4438296372262633,-0.075124461269516,-0.09586622650407352,-0.24150567663757,0.3726535283678843,-0.9629587219547426,-0.3958250301064705,18.0,19.0,AF,0,0
AGO,0,-0.27063168938525856,1.418389822629597,0.668816651556031,-0.5392512765807513,-1.1568203221974722,2.4652148587411253,-0.30360881202165396,-1.2458778720588939,-1.3881964611755864,-1.150091965510072,-1.316453318153834,-0.07768381581032788,-0.09594541098880388,-0.24150567663757,0.3726535283678843,-0.9953989602428137,-0.3984601727748614,19.0,20.0,AF,0,0
AGO,0,-0.19296955463466073,1.8245343379560346,0.8053221405229852,-0.24645883123055262,-1.3362384381469312,2.7572043608500523,-0.3368098554074167,-1.316350247076076,-1.2227409169147403,-1.0400847594139135,-1.3820584189254317,-0.04791719532387003,-0.09553308295253116,-0.24150567663757,0.3726535283678843,0.15158316153010581,-0.3714026672337143,20.0,21.0,AF,0,0
AGO,0,-0.13624699000584922,1.3556520516380113,0.9458670578936286,0.037820474787758664,-1.3555324049681527,2.631199497242923,-0.3314738756883813,-1.311217034098032,-1.076442304403965,-1.0814303225502233,-1.3831366671131398,-0.03907289048971795,-0.08627171645710642,-0.24150567663757,0.3726535283678843,0.6911057066374181,-0.315250661112787,21.0,22.0,AF,0,0
AGO,0,-0.1595092006058792,-0.3465227172777283,0.5239249561640458,0.5194347536904945,-0.3225457467479386,1.3780152772225371,-0.3047523838417832,-1.4326997010157199,-0.9730994741432571,-1.0470085457094518,-1.2469583220186027,-0.04295256925659195,-0.08670100379542828,-0.24150567663757,0.3726535283678843,1.6725533854385108,-0.2953446550537292,22.0,23.0,AF,0,0
AGO,0,-0.15122155911411914,0.3138748651590779,0.609613551315202,-0.16750051796624627,-0.8233467239876298,2.0210736656145123,-0.2819759866818865,-1.3528221705953516,-1.1329360778728343,-1.0515370047925163,-1.2814182538951553,-0.04165830433556516,-0.08703853351315692,-0.24150567663757,0.30471206987675925,-1.2916746452749535,-0.27179527875671744,23.0,24.0,AF,0,0
AGO,0,-0.15407192925762517,0.08438670550939381,0.5827558614912536,-0.2738514329093171,-1.0215335873947355,2.304078802792291,-0.2793119518737823,-1.3716031314063843,-1.1691153060376223,-1.1143896997903373,-1.2815122755367552,-0.04556885185493036,-0.08595853080159155,-0.24150567663757,0.2652385873153901,-0.5157421485328544,-0.23722515725550683,24.0,25.0,AF,0,0
AGO,0,-0.11769935572360943,0.9214406422382277,0.43727194444243916,-0.38621045888570166,-0.9842314435833623,2.373065093815872,-0.31725007868592053,-1.2949895228815582,-1.0028041828897498,-0.98431042401202,-1.285680234904269,-0.0493350457905276,-0.08639932157406352,-0.24150567663757,0.2832285822387639,-0.19701013069687878,-0.21788910659136296,25.0,26.0,AF,0,0
